punto;lat;long;planta;fruto;fecha_colecta;fecha _caracterización;peso_g;largo_mm;diam_mm;largo_apice_diam;punta;color;sanidad;forma_caro;pedunculo;arrugas;x1;x2;x3;x_media;y1;y2;y3;y_media;z1;z2;z3;z_media;a1;a2;a3;b1;b2;b3;l1;l2;l3;a_media;b_media;l_media;chro1;chro2;chro3;chroma_media;hue1;hue2;hue3;hue_media;esp_per;brix;ph;huesos;n_ huesos;color_semilla;n_loc
728;;;9;3;21/7/2023;25/7/2023;40,9774;63,05;35,57;38,15;3;5;Regular;4;si;no;13,52;14,29;13,76;13,86;9,37;9,79;9,57;9,58;6,56;6,44;6,41;6,47;32,62;34,45;32,64;14,09;15,88;15,28;19,51;20,3;19,89;33,24;15,08;19,9;35,54;37,93;36,04;36,5;23,35;24,75;25,08;24,39;4,61;12,4;3,43;si;4;2;2
728;;;9;1;21/7/2023;25/7/2023;38,4239;66,63;34,97;43,23;2;5;Regular;4;si;no;16,6;13,65;10,16;13,47;11,14;9,55;7,42;9,37;6,20;6,20;5,67;6,02;38,86;32,05;24,76;20,93;15,98;10,66;22,72;19,85;15,6;31,89;15,86;19,39;44,14;35,82;26,96;35,64;28,31;26,5;23,29;26,03;6,6;11,6;3,54;si;4;2;2
buscar;;;10;4;21/7/2023;25/7/2023;47,2761;66,74;37,65;39,68;3;5;Buena;4;si;no;14,56;15,23;18,43;16,07;10,09;10,50;12,89;11,16;5,98;6,03;6,25;6,09;33,86;35,05;37,27;18,53;19,62;25,8;20,85;21,59;25,65;35,39;21,31;22,69;38,6;40,17;45,33;41,37;28,68;29,23;34,69;30,87;5,56;13;4,02;si;1;2;2
buscar;;;10;3;21/7/2023;25/7/2023;56,3877;71,53;41,46;38,42;2;5;Muy Buena;8;si;no;13,97;10,93;13,33;12,74;9,54;7,49;9,22;8,75;6,02;5,57;5,62;5,74;34,31;30,11;32,54;16,62;11,3;17,1;19,83;15,75;19,22;32,32;15,01;18,27;38,12;32,16;36,76;35,68;25,85;20,58;27,72;24,72;7,06;13;3,38;si;3;2;2
buscar;;;10;2;21/7/2023;25/7/2023;45,931;60,63;39,44;31,84;3;5;Buena;6;si;no;11,81;12,42;14,98;13,07;8,17;8,58;10,38;9,04;5,65;5,79;6,17;5,87;30,62;31,5;34,35;13,42;14,3;18,72;17,16;17,98;21,37;32,16;15,48;18,84;33,43;34,6;39,13;35,72;23,67;24,42;28,59;25,56;7,93;12,2;3,43;si;4;2;2
buscar;;;10;1;21/7/2023;25/7/2023;52,2671;70,15;40,15;36,92;2;5;Buena;8;si;no;13,76;13,49;15,31;14,19;9,20;8,99;10,53;9,57;5,62;5,74;6,06;5,81;35,66;35,55;35,34;17,04;15,88;19,6;19,18;18,78;21,64;35,52;17,5;19,87;39,52;38,94;40,41;39,62;25,54;24,06;29,01;26,2;6,59;13,4;3,31;si;4;2;2
733;;;11;3;21/7/2023;25/7/2023;44,964;64,43;38,54;38,15;2;5;Muy Buena;8;si;no;12,73;13,09;14,8;13,54;8,86;9,27;10,24;9,46;6,00;6,43;6,28;6,24;31,34;30,47;34,27;14,45;14,23;17,88;18,53;19,32;21,12;32,02;15,52;19,66;34,51;33,63;38,65;35,6;24,76;25,03;27,56;25,78;5,16;11;3,37;si;4;2;2
733;;;11;1;21/7/2023;25/7/2023;41,524;70,16;36,77;37,61;2;5;Buena;5;si;no;14,43;15,35;14,61;14,80;9,85;11,05;10,03;10,31;5,99;6,45;6,32;6,25;34,90;31,64;34,67;17,73;19,75;17,08;20,41;22,56;20,74;33,73;18,18;21,23;39,14;37,29;38,64;38,36;26,93;31,97;26,22;28,38;4,39;11,1;3,42;si;4;2;2
733;;;11;2;21/7/2023;25/7/2023;52,2436;67,07;40,74;43,82;5;6;Buena;8;si;no;11,55;11,44;10,18;11,06;8,02;7,83;7,33;7,73;5,82;5,57;5,77;5,72;30,02;30,89;25,75;12,24;12,53;9,94;16,85;16,46;15,41;28,88;11,57;16,24;32,42;33,33;27,6;31,12;22,19;22,08;21,11;21,8;6,8;10,5;3,31;si;6;2;2
app graciela;24° 47' 02.8'' S;65° 31' 21.5'' W;12;2;21/7/2023;25/7/2023;33,61;58,69;35,79;37,57;1;6;Buena;4;si;no;11,08;11,65;11,82;11,52;7,89;7,99;8,04;7,97;6,23;6,11;5,93;6,09;27,64;31,03;31,84;10,24;11,04;11,9;16,58;16,79;16,89;30,17;11,06;16,75;29,48;32,93;33,99;32,13;20,34;19,59;20,49;20,14;6,89;11,2;3,31;si;1;2;2
app graciela;24° 47' 02.8'' S;65° 31' 21.5'' W;12;4;21/7/2023;25/7/2023;45,3845;72,92;37,06;44,22;4;6;Buena;5;si;no;10,24;11,61;11,04;10,96;7,39;8,27;7,95;7,87;5,74;5,74;5,64;5,71;25,67;28,27;26,81;10,28;13,42;12,69;15,53;17,36;16,71;26,92;12,13;16,53;27,65;31,3;29,66;29,54;21,82;25,4;25,33;24,18;7,75;9,6;3,54;si;1;2;2
app graciela;24° 47' 02.8'' S;65° 31' 21.5'' W;12;5;21/7/2023;25/7/2023;32,6729;64,02;33,47;37,59;5;6;Buena;5;si;no;12,19;12,69;11,94;12,27;8,37;8,79;8,17;8,44;5,81;5,95;5,98;5,91;31,65;31,65;31,57;13,5;14,41;12,16;17,56;18,39;17,16;31,62;13,36;17,7;34,41;34,77;33,84;34,34;23,1;24,48;21,07;22,88;5,33;11;3,36;si;2;2;2
app graciela;24° 47' 02.8'' S;65° 31' 21.5'' W;12;1;21/7/2023;25/7/2023;42,1135;67,06;37,05;40,63;4;6;Buena;5;si;no;13,97;15,75;11,34;13,69;9,46;10,82;8,15;9,48;6,23;6,26;6,00;6,16;34,96;35,94;27,31;15,58;19,74;12,02;19,68;22,16;17,12;32,73;15,78;19,65;38,27;41;29,84;36,37;24,02;28,78;23,75;25,52;5,12;9,4;3,28;si;4;2;2
